Entry	Reviewed	Gene Names	Organism (ID)	EC number	Gene Ontology (GO)
P0AG51	reviewed	rpmD b3302 JW3264	83333		cytoplasm [GO:0005737]; cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]
P0AG76	reviewed	sbcD yajA b0398 JW0388	83333		DNA repair complex [GO:1990391]; 3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA exonuclease activity [GO:0004529]; double-stranded DNA endonuclease activity [GO:1990238]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA replication termination [GO:0006274]
P0AG78	reviewed	sbp b3917 JW3888	83333		ATP-binding cassette (ABC) transporter complex, transmembrane substrate-binding subunit-containing [GO:0035796]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; sulfate binding [GO:0043199]; sulfate transmembrane transport [GO:1902358]; sulfate transport [GO:0008272]; sulfur compound metabolic process [GO:0006790]; thiosulfate transport [GO:0015709]
P0AG82	reviewed	pstS phoS b3728 JW3706	83333		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; phosphate ion binding [GO:0042301]; DNA damage response [GO:0006974]; phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]; response to radiation [GO:0009314]
P0AGA6	reviewed	uhpA b3669 JW3644	83333		cytoplasm [GO:0005737]; DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]
P0AGC5	reviewed	mltF yfhD b2558 JW2542	83333	4.2.2.n1	cell outer membrane [GO:0009279]; lytic transglycosylase activity [GO:0008933]; cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]
P0AGG4	reviewed	trxC yfiG b2582 JW2566	83333	1.8.1.8	cytoplasm [GO:0005737]; cytosol [GO:0005829]; protein-disulfide reductase (NAD(P)H) activity [GO:0047134]; protein-disulfide reductase activity [GO:0015035]; zinc ion binding [GO:0008270]
P0AGH3	reviewed	sapB b1293 JW1286	83333		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; dipeptide transmembrane transporter activity [GO:0071916]; putrescine transmembrane transporter activity [GO:0015489]; peptide transport [GO:0015833]; putrescine transport [GO:0015847]
P0AGH5	reviewed	sapC b1292 JW1285	83333		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; putrescine transmembrane transporter activity [GO:0015489]; peptide transport [GO:0015833]; putrescine transport [GO:0015847]
P0AGK8	reviewed	iscR yfhP b2531 JW2515	83333		cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; regulation of DNA-templated transcription [GO:0006355]
P0AGL2	reviewed	tdcF yhaR b3113 JW5521	83333	3.5.4.-	cytosol [GO:0005829]; deaminase activity [GO:0019239]; identical protein binding [GO:0042802]; L-threonine catabolic process to propionate [GO:0070689]; threonine metabolic process [GO:0006566]
P0AGL5	reviewed	ratA pasT yfjG b2619 JW2600	83333		ribosomal large subunit binding [GO:0043023]; ubiquinone binding [GO:0048039]; cellular respiration [GO:0045333]; negative regulation of translational initiation [GO:0045947]
P0AGL7	reviewed	rsmE yggJ b2946 JW2913	83333	2.1.1.193	cytoplasm [GO:0005737]; protein homodimerization activity [GO:0042803]; rRNA (uridine-N3-)-methyltransferase activity [GO:0070042]; rRNA base methylation [GO:0070475]
P0AGM9	reviewed	xanP yicE b3654 JW3629	83333		plasma membrane [GO:0005886]; xanthine transmembrane transporter activity [GO:0042907]; xanthine transport [GO:0042906]
P0C066	reviewed	mltC yggZ b2963 JW5481	83333	4.2.2.n1	cell outer membrane [GO:0009279]; outer membrane-bounded periplasmic space [GO:0030288]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; lytic endotransglycosylase activity [GO:0008932]; lytic transglycosylase activity [GO:0008933]; cell division [GO:0051301]; cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; cellular response to antibiotic [GO:0071236]; cellular response to oxidative stress [GO:0034599]; peptidoglycan catabolic process [GO:0009253]
P0C0L9	reviewed	iscX yfhJ b2524 JW2508	83333		cytosol [GO:0005829]; enzyme inhibitor activity [GO:0004857]; ferrous iron binding [GO:0008198]; iron ion binding [GO:0005506]; iron-sulfur cluster assembly [GO:0016226]
P0C0U4	reviewed	rimK b0852 JW0836	83333	6.3.2.-	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; ribosomal S6-glutamic acid ligase activity [GO:0018169]; protein modification process [GO:0036211]; SOS response [GO:0009432]; translation [GO:0006412]
P0C8J6	reviewed	gatY yegF b2096 JW5343	83333	4.1.2.40	catalytic complex [GO:1902494]; cytosol [GO:0005829]; tagatose-bisphosphate aldolase activity [GO:0009025]; zinc ion binding [GO:0008270]; D-tagatose 6-phosphate catabolic process [GO:2001059]; galactitol catabolic process [GO:0019404]
P0C960	reviewed	emtA mltE sltZ ycgP b1193 JW5821	83333	4.2.2.n2	cell outer membrane [GO:0009279]; lytic endotransglycosylase activity [GO:0008932]; lytic transglycosylase activity [GO:0008933]; cell division [GO:0051301]; cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; peptidoglycan metabolic process [GO:0000270]
P0CG18	reviewed	rph orfE BWG_3334	595496	2.7.7.56	3'-5'-RNA exonuclease activity [GO:0000175]; tRNA binding [GO:0000049]; tRNA nucleotidyltransferase activity [GO:0009022]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]
P0CI31	reviewed	hcaB phdD yfhX b2541 JW2525	83333	1.3.1.87	2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity [GO:0018498]; 3-phenylpropionate catabolic process [GO:0019380]
P0DMC9	reviewed	rcsA b1951 JW1935	83333		transcription regulator complex [GO:0005667]; DNA binding [GO:0003677]; DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of bacterial-type flagellum-dependent cell motility [GO:1902021]; regulation of capsule organization [GO:1901913]
P0DP92	reviewed	bcsQ yhjQ	83333		cytoplasm [GO:0005737]; ATP binding [GO:0005524]
P0DW56	reviewed	spfP b4837	83333		
P10100	reviewed	rlpA b0633 JW0628	83333	4.2.2.-	cell outer membrane [GO:0009279]; plasma membrane [GO:0005886]; lytic endotransglycosylase activity [GO:0008932]; peptidoglycan binding [GO:0042834]; cell wall organization [GO:0071555]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan metabolic process [GO:0000270]
P10151	reviewed	leuO b0076 JW0075	83333		protein-DNA complex [GO:0032993]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; regulation of DNA-templated transcription [GO:0006355]
P10346	reviewed	glnQ b0809 JW0794	83333		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; L-glutamine transmembrane transporter activity [GO:0015186]; glutamine transport [GO:0006868]; L-glutamine import across plasma membrane [GO:1903803]
P10371	reviewed	hisA b2024 JW2006	83333	5.3.1.16	cytoplasm [GO:0005737]; cytosol [GO:0005829]; 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]; DNA damage response [GO:0006974]; L-histidine biosynthetic process [GO:0000105]; tryptophan biosynthetic process [GO:0000162]
P10384	reviewed	fadL ttr b2344 JW2341	83333		cell outer membrane [GO:0009279]; ligand-gated channel activity [GO:0022834]; long-chain fatty acid transporting porin activity [GO:0015483]; long-chain fatty acid transport [GO:0015909]
P10441	reviewed	lpxB pgsB b0182 JW0177	83333	2.4.1.182	cytoplasm [GO:0005737]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; extrinsic component of plasma membrane [GO:0019897]; identical protein binding [GO:0042802]; lipid-A-disaccharide synthase activity [GO:0008915]; phospholipid binding [GO:0005543]; lipid A biosynthetic process [GO:0009245]
P10442	reviewed	rnhB b0183 JW0178	83333	3.1.26.4	cytoplasm [GO:0005737]; ribonuclease H2 complex [GO:0032299]; manganese ion binding [GO:0030145]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; DNA replication, removal of RNA primer [GO:0043137]; mismatch repair [GO:0006298]; ribonucleotide excision repair [GO:1990516]
P11553	reviewed	fucK b2803 JW2774	83333	2.7.1.51	cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; L-fuculokinase activity [GO:0008737]; D-arabinose catabolic process [GO:0019571]; glycerol metabolic process [GO:0006071]; L-fucose catabolic process [GO:0042355]; rhamnose catabolic process [GO:0019301]
P13016	reviewed	ampD b0110 JW0106	83333	3.5.1.28	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; N-acetyl-anhydromuramoyl-L-alanine amidase activity [GO:0009392]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]; peptidoglycan turnover [GO:0009254]
P13033	reviewed	glpB b2242 JW2236	83333	1.1.5.3	cytosol [GO:0005829]; glycerol-3-phosphate dehydrogenase (FAD) complex [GO:0009331]; plasma membrane [GO:0005886]; FMN binding [GO:0010181]; glycerol-3-phosphate dehydrogenase (quinone) activity [GO:0004368]; anaerobic respiration [GO:0009061]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate catabolic process [GO:0046168]
P13669	reviewed	mngR farR g30 ybgB b0730 JW0719	83333		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]; response to heat [GO:0009408]
P13857	reviewed	rimL b1427 JW1423	83333	2.3.1.-	cytoplasm [GO:0005737]; N-acetyltransferase activity [GO:0008080]; peptide alpha-N-acetyltransferase activity [GO:0004596]; peptide-alanine-alpha-N-acetyltransferase activity [GO:0008999]; peptide-serine-alpha-N-acetyltransferase activity [GO:1990189]; protein modification process [GO:0036211]
P15031	reviewed	fecE b4287 JW4247	83333	7.2.2.18	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; intracellular iron ion homeostasis [GO:0006879]; iron import into cell [GO:0033212]; transmembrane transport [GO:0055085]
P15032	reviewed	recE b1350 JW1344	83333	3.1.11.-	double-stranded DNA 5'-3' DNA exonuclease activity [GO:0051908]; identical protein binding [GO:0042802]
P15038	reviewed	helD b0962 JW0945	83333	5.6.2.4	cytosol [GO:0005829]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; isomerase activity [GO:0016853]; recombinational repair [GO:0000725]
P15078	reviewed	cstA ybdC b0598 JW0590	83333		plasma membrane [GO:0005886]; pyruvate secondary active transmembrane transporter activity [GO:0005477]; cellular response to nutrient levels [GO:0031669]; cellular response to starvation [GO:0009267]; peptide transport [GO:0015833]; plasma membrane pyruvate transport [GO:0006849]; protein transport [GO:0015031]
P16095	reviewed	sdaA b1814 JW1803	83333	4.3.1.17	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; L-serine ammonia-lyase activity [GO:0003941]; metal ion binding [GO:0046872]; gluconeogenesis [GO:0006094]; L-serine catabolic process [GO:0006565]
P16256	reviewed	panF b3258 JW3226	83333		plasma membrane [GO:0005886]; pantothenate transmembrane transporter activity [GO:0015233]; sodium ion transmembrane transporter activity [GO:0015081]; symporter activity [GO:0015293]; pantothenate transmembrane transport [GO:0015887]; sodium ion export across plasma membrane [GO:0036376]
P16429	reviewed	hycC hevC b2723 JW2693	83333		formate dehydrogenase complex [GO:0009326]; plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; ATP synthesis coupled electron transport [GO:0042773]; formate oxidation [GO:0015944]; glucose catabolic process [GO:0006007]
P16430	reviewed	hycD hevD b2722 JW2692	83333		formate dehydrogenase complex [GO:0009326]; plasma membrane [GO:0005886]; oxidoreductase activity [GO:0016491]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; formate oxidation [GO:0015944]; glucose catabolic process [GO:0006007]
P16431	reviewed	hycE hevE b2721 JW2691	83333		formate dehydrogenase complex [GO:0009326]; 4 iron, 4 sulfur cluster binding [GO:0051539]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; nickel cation binding [GO:0016151]; quinone binding [GO:0048038]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; formate oxidation [GO:0015944]; glucose catabolic process [GO:0006007]
P16432	reviewed	hycF hevF b2720 JW2690	83333		formate dehydrogenase complex [GO:0009326]; membrane [GO:0016020]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; aerobic respiration [GO:0009060]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; formate oxidation [GO:0015944]; glucose catabolic process [GO:0006007]
P16433	reviewed	hycG hevG b2719 JW2689	83333		formate dehydrogenase complex [GO:0009326]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; formate oxidation [GO:0015944]; glucose catabolic process [GO:0006007]
P16676	reviewed	cysA b2422 JW2415	83333	7.3.2.3	ATP-binding cassette (ABC) transporter complex, transmembrane substrate-binding subunit-containing [GO:0035796]; membrane [GO:0016020]; ABC-type sulfate transporter activity [GO:0015419]; ABC-type thiosulfate transporter activity [GO:0102025]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sulfate transmembrane transport [GO:1902358]; sulfate transport [GO:0008272]; thiosulfate transport [GO:0015709]
P16678	reviewed	phnK b4097 JW5727	83333		alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex [GO:0061694]; carbon phosphorus lyase complex [GO:1904176]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; organic phosphonate catabolic process [GO:0019700]; organic phosphonate metabolic process [GO:0019634]; organic phosphonate transport [GO:0015716]; peptide transport [GO:0015833]
P16679	reviewed	phnL b4096 JW4057	83333	2.7.8.37	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex [GO:0061694]; carbon phosphorus lyase complex [GO:1904176]; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity [GO:0061693]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; organic phosphonate catabolic process [GO:0019700]; organic phosphonate metabolic process [GO:0019634]; organic phosphonate transport [GO:0015716]
P16685	reviewed	phnG b4101 JW4062	83333	2.7.8.37	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex [GO:0061694]; carbon phosphorus lyase complex [GO:1904176]; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity [GO:0061693]; organic phosphonate catabolic process [GO:0019700]; organic phosphonate metabolic process [GO:0019634]; organic phosphonate transport [GO:0015716]
P16691	reviewed	phnO b4093 JW4054	83333	2.3.1.-; 2.3.1.280	N-acetyltransferase activity [GO:0008080]; peptide-lysine-N-acetyltransferase activity [GO:0061733]; aminophosphonate metabolic process [GO:0033051]
P16700	reviewed	cysP b2425 JW2418	83333		ATP-binding cassette (ABC) transporter complex, transmembrane substrate-binding subunit-containing [GO:0035796]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; sulfate binding [GO:0043199]; thiosulfate binding [GO:0036173]; sulfate transmembrane transport [GO:1902358]; sulfate transport [GO:0008272]; sulfur compound metabolic process [GO:0006790]; thiosulfate transport [GO:0015709]
P17315	reviewed	cirA cir feuA b2155 JW2142	83333		cell outer membrane [GO:0009279]; membrane [GO:0016020]; transmembrane transporter complex [GO:1902495]; colicin transmembrane transporter activity [GO:0042912]; siderophore uptake transmembrane transporter activity [GO:0015344]; siderophore-iron transmembrane transporter activity [GO:0015343]; intracellular iron ion homeostasis [GO:0006879]; siderophore transmembrane transport [GO:0044718]
P17334	reviewed	chbC celB b1737 JW1726	83333		plasma membrane [GO:0005886]; transmembrane transporter complex [GO:1902495]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; N,N'-diacetylchitobiose import [GO:1902815]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
P17446	reviewed	betI b0313 JW0305	83333		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; glycine betaine biosynthetic process from choline [GO:0019285]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]; response to osmotic stress [GO:0006970]
P17802	reviewed	mutY micA b2961 JW2928	83333	3.2.2.31	4 iron, 4 sulfur cluster binding [GO:0051539]; 8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]; adenine/guanine mispair binding [GO:0035485]; metal ion binding [GO:0046872]; oxidized purine DNA binding [GO:0032357]; purine-specific mismatch base pair DNA N-glycosylase activity [GO:0000701]; base-excision repair [GO:0006284]; mismatch repair [GO:0006298]
P18133	reviewed	pncB b0931 JW0914	83333	6.3.4.21	cytosol [GO:0005829]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; nicotinate phosphoribosyltransferase activity [GO:0004516]; NAD biosynthetic process [GO:0009435]; NAD salvage [GO:0034355]; response to heat [GO:0009408]
P18392	reviewed	rstB uspT b1609 JW1601	83333	2.7.13.3	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; signal transduction [GO:0007165]
P18777	reviewed	dmsC b0896 JW0879	83333		dimethyl sulfoxide reductase complex [GO:0009390]; plasma membrane [GO:0005886]; dimethyl sulfoxide reductase activity [GO:0009389]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; dimethyl sulfoxide metabolic process [GO:0018907]
P19323	reviewed	fhlA b2731 JW2701	83333		transcription regulator complex [GO:0005667]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; identical protein binding [GO:0042802]; DNA-templated transcription [GO:0006351]; phosphorelay signal transduction system [GO:0000160]; positive regulation of DNA-templated transcription initiation [GO:2000144]
P19642	reviewed	malX b1621 JW1613	83333	2.7.1.208	plasma membrane [GO:0005886]; D-glucose transmembrane transporter activity [GO:0055056]; kinase activity [GO:0016301]; maltose transmembrane transporter activity [GO:0005363]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-glucose phosphotransferase system transporter activity [GO:0090564]; carbohydrate utilization [GO:0009758]; glucose import [GO:0046323]; glucose transmembrane transport [GO:1904659]; maltose transport [GO:0015768]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]
P20099	reviewed	bisC b3551 JW5940	83333	1.-.-.-; 1.8.4.13	outer membrane-bounded periplasmic space [GO:0030288]; electron transfer activity [GO:0009055]; L-methionine:thioredoxin-disulfide S-oxidoreductase activity [GO:0033744]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; anaerobic respiration [GO:0009061]
P21189	reviewed	polB dinA b0060 JW0059	83333	2.7.7.7	3'-5'-DNA exonuclease activity [GO:0008296]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication proofreading [GO:0045004]; DNA-templated DNA replication [GO:0006261]; SOS response [GO:0009432]
P21345	reviewed	gltP b4077 JW4038	83333		plasma membrane [GO:0005886]; amino acid:proton symporter activity [GO:0005280]; transmembrane transporter activity [GO:0022857]; dicarboxylic acid transport [GO:0006835]
P21517	reviewed	malZ b0403 JW0393	83333	3.2.1.20	cytoplasm [GO:0005737]; alpha-1,4-glucosidase activity [GO:0004558]; maltose alpha-glucosidase activity [GO:0032450]; protein homodimerization activity [GO:0042803]; alpha-glucan catabolic process [GO:0030980]
P21866	reviewed	kdpE b0694 JW5096	83333		cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; phosphorelay response regulator activity [GO:0000156]; protein homodimerization activity [GO:0042803]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355]
P21889	reviewed	aspS tls b1866 JW1855	83333	6.1.1.12	cytosol [GO:0005829]; aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; aspartyl-tRNA aminoacylation [GO:0006422]
P22186	reviewed	mraZ yabB b0081 JW0079	83333		cytoplasm [GO:0005737]; nucleoid [GO:0009295]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of DNA-templated transcription initiation [GO:2000143]
P22524	reviewed	mukE kicA ycbA b0923 JW0906	83333		condensin complex [GO:0000796]; cytoplasm [GO:0005737]; nucleoid [GO:0009295]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]
P22939	reviewed	ispA b0421 JW0411	83333	2.5.1.10	cytosol [GO:0005829]; dimethylallyltranstransferase activity [GO:0004161]; geranyltranstransferase activity [GO:0004337]; metal ion binding [GO:0046872]; prenyltransferase activity [GO:0004659]; farnesyl diphosphate biosynthetic process [GO:0045337]; geranyl diphosphate biosynthetic process [GO:0033384]
P23173	reviewed	tnaB trpP b3709 JW5619/JW5622	83333		plasma membrane [GO:0005886]; aromatic amino acid transmembrane transporter activity [GO:0015173]; symporter activity [GO:0015293]; amino acid transmembrane transport [GO:0003333]; tryptophan catabolic process [GO:0006569]
P23200	reviewed	mglC b2148 JW2135	83333		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; galactose transmembrane transporter activity [GO:0005354]; methylgalactoside transmembrane transporter activity [GO:0015592]; DNA damage response [GO:0006974]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765]
P23331	reviewed	tdk b1238 JW1226	83333	2.7.1.21	cytosol [GO:0005829]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; thymidine kinase activity [GO:0004797]; zinc ion binding [GO:0008270]; DNA biosynthetic process [GO:0071897]; dTMP salvage [GO:0036198]; thymidine metabolic process [GO:0046104]
P23482	reviewed	hyfB yffF b2482 JW2467	83333	1.-.-.-	formate dehydrogenase complex [GO:0009326]; membrane [GO:0016020]; plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; ATP synthesis coupled electron transport [GO:0042773]; formate oxidation [GO:0015944]; glucose catabolic process [GO:0006007]
P23524	reviewed	garK yhaD b3124 JW3093	83333	2.7.1.165	ATP binding [GO:0005524]; glycerate 2-kinase activity [GO:0043798]; glycerate kinase activity [GO:0008887]; D-glucarate catabolic process [GO:0042838]; galactarate catabolic process [GO:0046392]; organic acid phosphorylation [GO:0031388]
P23830	reviewed	pssA pss b2585 JW2569	83333	2.7.8.8	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444]; CDP-diacylglycerol-serine O-phosphatidyltransferase activity [GO:0003882]; phospholipid binding [GO:0005543]; cardiolipin biosynthetic process [GO:0032049]; phospholipid biosynthetic process [GO:0008654]
P23849	reviewed	trkG b1363 JW1358	83333		plasma membrane [GO:0005886]; potassium channel activity [GO:0005267]; potassium ion binding [GO:0030955]; potassium ion transmembrane transporter activity [GO:0015079]; potassium:chloride symporter activity [GO:0015379]; potassium ion transmembrane transport [GO:0071805]
P23862	reviewed	priC b0467 JW0456	83333		DnaB-DnaC-DnaT-PriA-PriC complex [GO:1990159]; DnaB-DnaC-Rep-PriC complex [GO:1990160]; primosome complex [GO:1990077]; DNA binding [GO:0003677]; DNA replication initiation [GO:0006270]; DNA replication, synthesis of primer [GO:0006269]; DNA unwinding involved in DNA replication [GO:0006268]; DNA-templated DNA replication [GO:0006261]; replication fork processing [GO:0031297]
P23869	reviewed	ppiB b0525 JW0514	83333	5.2.1.8	cytosol [GO:0005829]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; chaperone-mediated protein folding [GO:0061077]
P23871	reviewed	hemH popA visA b0475 JW0464	83333	4.98.1.1	cytoplasm [GO:0005737]; ferrochelatase activity [GO:0004325]; metal ion binding [GO:0046872]; heme biosynthetic process [GO:0006783]; protoporphyrinogen IX metabolic process [GO:0046501]; response to light stimulus [GO:0009416]
P23876	reviewed	fepD b0590 JW0582	83333		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ferric-enterobactin transmembrane transporter activity [GO:0015620]; transmembrane transporter activity [GO:0022857]; ferric-enterobactin import into cell [GO:0015685]; iron import into cell [GO:0033212]; siderophore-dependent iron import into cell [GO:0033214]
P23877	reviewed	fepG b0589 JW0581	83333		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ferric-enterobactin transmembrane transporter activity [GO:0015620]; transmembrane transporter activity [GO:0022857]; ferric-enterobactin import into cell [GO:0015685]; iron import into cell [GO:0033212]; siderophore-dependent iron import into cell [GO:0033214]
P23878	reviewed	fepC b0588 JW0580	83333	7.2.2.17	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ferric-enterobactin transmembrane transporter activity [GO:0015620]; ferric-enterobactin import into cell [GO:0015685]; iron import into cell [GO:0033212]
P23917	reviewed	mak yajF b0394 JW0385	83333	2.7.1.4	cytosol [GO:0005829]; ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]
P24077	reviewed	entS ybdA b0591 JW0583	83333		plasma membrane [GO:0005886]; enterobactin transmembrane transporter activity [GO:0042931]; DNA damage response [GO:0006974]; enterobactin transport [GO:0042930]; response to antibiotic [GO:0046677]
P24169	reviewed	speF b0693 JW0680	83333	4.1.1.17	cytosol [GO:0005829]; ornithine decarboxylase activity [GO:0004586]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; cellular response to acidic pH [GO:0071468]; putrescine biosynthetic process from ornithine [GO:0033387]; spermidine biosynthetic process [GO:0008295]
